Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,SMA 20,SMA 50,Signal at Close,Next-Day Position,Strategy Net Return,Strategy Equity,Buy & Hold Net Return,Buy & Hold Equity,Strategy Drawdown,Buy & Hold Drawdown,Entry,Exit
2025-09-08,167.5500030517578,170.9600067138672,167.35000610351562,168.30999755859375,168.08612060546875,163769100,0.007723442803737823,176.8254867553711,,0,0,0,1,0.007723442803737823,0.9850128026788126,0,-0.08107672523158915,0,0
2025-09-09,169.08999633789062,170.97999572753906,166.74000549316406,170.75999450683594,170.53285217285156,157548400,0.014556416428491259,176.26123809814453,,0,0,0,1,0.014556416428491259,0.9993510592220007,0,-0.0677004953782272,0,0
2025-09-10,176.63999938964844,179.2899932861328,175.47000122070312,177.3300018310547,177.09413146972656,226852000,0.03847516307429433,175.970125579834,,0,0,0,1,0.03847516307429433,1.037801254194036,0,-0.031830119903820675,0,0
2025-09-11,179.67999267578125,180.27999877929688,176.47999572753906,177.1699981689453,176.9443359375,151159300,-0.0008458526038293002,175.74991912841796,,0,0,0,1,-0.0008458526038293002,1.0369234273009187,0,-0.032649048917849144,0,0
2025-09-12,177.77000427246094,178.60000610351562,176.4499969482422,177.82000732421875,177.59349060058594,124911000,0.0036686942232229125,175.54069976806642,,0,0,0,1,0.0036686942232229125,1.040727582288582,0,-0.02910013407178491,0,0
2025-09-15,175.6699981689453,178.85000610351562,174.50999450683594,177.75,177.52359008789062,147061600,-0.0003935983940567267,175.4063804626465,,0,0,0,1,-0.0003935983940567267,1.0403179535835427,0,-0.029482278699804132,0,0
2025-09-16,177,177.5,174.3800048828125,174.8800048828125,174.65724182128906,140737800,-0.016146295065249894,175.05084838867188,,0,0,0,1,-0.016146295065249894,1.023520672943306,0,-0.04515254419397097,0,0
2025-09-17,172.63999938964844,173.1999969482422,168.41000366210938,170.2899932861328,170.0730743408203,211843800,-0.026246649910796838,174.78418350219727,,0,0,0,1,-0.026246649910796838,0.9966566841640998,0,-0.07021409108472687,0,0
2025-09-18,173.97999572753906,177.10000610351562,172.9600067138672,176.24000549316406,176.01551818847656,191763300,0.03494053288969079,174.82662506103514,,0,0,0,1,0.03494053288969079,1.0314803998168658,0,-0.03772687595390167,0,0
2025-09-19,175.77000427246094,178.0800018310547,175.17999267578125,176.6699981689453,176.4449462890625,237182100,0.0024397172760990404,174.9115104675293,,0,0,0,1,0.0024397172760990404,1.0339969203682566,0,-0.03537920158884056,0,0
2025-09-22,175.3000030517578,184.5500030517578,174.7100067138672,183.61000061035156,183.37611389160156,269637000,0.03928232430745848,175.1926528930664,,0,0,0,1,0.03928232430745848,1.074614722727076,0,0,0,0
2025-09-23,181.97000122070312,182.4199981689453,176.2100067138672,178.42999267578125,178.2027130126953,192559600,-0.028211967028401452,175.12424697875977,175.97441864013672,0,0,0,1,-0.028211967028401452,1.0442977276012648,0,-0.028211967028401563,0,0
2025-09-24,179.77000427246094,179.77999877929688,175.39999389648438,176.97000122070312,176.74456787109375,143564100,-0.008182508094013552,174.88506393432618,176.09985107421875,0,0,0,1,-0.008182508094013552,1.0357527529926076,0,-0.03616363047385707,0,0
2025-09-25,174.47999572753906,180.25999450683594,173.1300048828125,177.69000244140625,177.4636688232422,191586700,0.004068588702951903,174.69032440185546,176.22628326416014,0,0,0,1,0.004068588702951903,1.0399668049424846,0,-0.032242176709308845,0,0
2025-09-26,178.1699981689453,179.77000427246094,174.92999267578125,178.19000244140625,177.96302795410156,148573700,0.0028138668279011902,174.59195785522462,176.33014587402343,0,0,0,1,0.0028138668279011902,1.0428931330370306,0,-0.029519035072909428,0,0
2025-09-29,180.42999267578125,184,180.32000732421875,181.85000610351562,181.61837768554688,193063500,0.02053993896073769,174.97546157836913,176.51889984130858,0,0,0,1,0.02053993896073769,1.0643140943321836,0,-0.009585415290749189,0,0
2025-09-30,182.0800018310547,187.35000610351562,181.47999572753906,186.5800018310547,186.3423309326172,236981000,0.026010326197546618,175.76493606567382,176.8227053833008,0,0,0,1,0.026010326197546618,1.09199725110241,0,0,0,0
2025-10-01,185.24000549316406,188.13999938964844,183.89999389648438,187.24000549316406,187.00149536132812,173844900,0.0035373842616002182,176.59535751342773,177.2265783691406,0,0,0,1,0.0035373842616002182,1.0958600649921704,0,0,0,0
2025-10-02,189.60000610351562,191.0500030517578,188.05999755859375,188.88999938964844,188.64939880371094,136805800,0.008812247405822538,177.45624313354492,177.58850952148438,0,0,0,1,0.008812247405822538,1.1055170550070421,0,0,0,0
2025-10-03,189.19000244140625,190.36000061035156,185.3800048828125,187.6199951171875,187.38101196289062,137596900,-0.006723513824393734,178.485400390625,177.86595153808594,1,0,0,1,-0.006723513824393734,1.0980840958045992,0,-0.006723513824393734,0,0
2025-10-06,185.5,187.22999572753906,183.3300018310547,185.5399932861328,185.30364990234375,157678100,-0.011086299720476922,179.34627685546874,178.10664001464843,1,1,-0.012086299720476923,0.9879137002795231,-0.011086299720476922,1.0859104064002205,-0.012086299720476923,-0.01773527465543867,1,0
2025-10-07,186.22999572753906,189.05999755859375,184,185.0399932861328,184.80429077148438,140088000,-0.0026948154076972264,180.0598487854004,178.27242797851562,1,1,-0.0026948154076972264,0.9852514552185346,-0.0026948154076972264,1.0829840783056746,-0.014748544781465367,-0.02038229677173453,0,0
2025-10-08,186.57000732421875,189.60000610351562,186.5399932861328,189.11000061035156,188.86911010742188,130168900,0.021995264931179426,180.64859771728516,178.54427947998047,1,1,0.021995264931179426,1.0069223219998964,0.021995264931179426,1.106804600024257,0,0,0,0
2025-10-09,192.22999572753906,195.3000030517578,191.05999755859375,192.57000732421875,192.32470703125,182997200,0.0182962524780399,181.41761627197266,178.81014251708984,1,1,0.0182962524780399,1.0253452270289807,0.0182962524780399,1.1270549764301567,0,0,0,0
2025-10-10,193.50999450683594,195.6199951171875,182.0500030517578,183.16000366210938,182.92669677734375,268774400,-0.04886532988389891,181.68427658081055,178.91600830078124,1,1,-0.04886532988389891,0.9752413942653283,-0.04886532988389891,1.0719810632096072,-0.04886532988389891,-0.04886532988389891,0,0
2025-10-13,187.97000122070312,190.11000061035156,185.9600067138672,188.32000732421875,188.0801239013672,153482800,0.028172088682583807,182.21210327148438,179.20783203125,1,1,0.028172088682583807,1.0027159813114979,0.028172088682583807,1.1021810087883988,-0.022069879608307974,-0.022069879608307974,0,0
2025-10-14,184.77000427246094,184.8000030517578,179.6999969482422,180.02999877929688,179.8006591796875,205641400,-0.04402094463751838,182.4692741394043,179.20863342285156,1,1,-0.04402094463751838,0.9585754766110295,-0.04402094463751838,1.0536619596200005,-0.06511928729743233,-0.06511928729743233,0,0
2025-10-15,184.8000030517578,184.8699951171875,177.2899932861328,179.8300018310547,179.60093688964844,214450500,-0.0011107984306079066,182.9456672668457,179.24019439697267,1,1,-0.0011107984306079066,0.9575106924759907,-0.0011107984306079066,1.0524915535688635,-0.06615775132590795,-0.06615775132590784,0,0
2025-10-16,182.22999572753906,183.27999877929688,179.77000427246094,181.80999755859375,181.5784149169922,179723300,0.01101039928627312,183.22381210327148,179.28813568115234,1,1,0.01101039928627312,0.9680532675210273,0.01101039928627312,1.0640799058190866,-0.055875775297615005,-0.055875775297614894,0,0
2025-10-17,180.17999267578125,184.10000610351562,179.75,183.22000122070312,182.9866180419922,173135200,0.007755344299286593,183.55089569091797,179.33727661132812,1,1,0.007755344299286593,0.9755608539107022,0.007755344299286593,1.0723322118506662,-0.048553766873751014,-0.04855376687375079,0,0
2025-10-20,183.1300048828125,185.1999969482422,181.72999572753906,182.63999938964844,182.4073486328125,128544700,-0.0031656380962610253,183.50245742797853,179.33628356933593,1,1,-0.0031656380962610253,0.9724725813063416,-0.0031656380962610253,1.0689375961489838,-0.05156570131587945,-0.05156570131587945,0,0
2025-10-21,182.7899932861328,182.7899932861328,179.8000030517578,181.16000366210938,180.92922973632812,124240200,-0.008103395546085412,183.63878326416017,179.31851165771485,1,1,-0.008103395546085412,0.9645922513222936,-0.008103395546085412,1.0602755719933068,-0.05925123958759104,-0.05925123958759104,0,0
2025-10-22,181.13999938964844,183.44000244140625,176.75999450683594,180.27999877929688,180.05035400390625,162249600,-0.004857566318624551,183.80407257080077,179.26119110107422,1,1,-0.004857566318624551,0.9599066804910642,-0.004857566318624551,1.0551252130863318,-0.06382098908045819,-0.06382098908045808,0,0
2025-10-23,180.4199981689453,183.02999877929688,179.7899932861328,182.16000366210938,181.92796325683594,111363700,0.010428245272369407,184.02728729248048,179.27278106689454,1,1,0.010428245272369407,0.969916822793811,0.010428245272369407,1.066128317601457,-0.05405828473574492,-0.05405828473574492,0,0
2025-10-24,183.83999633789062,187.47000122070312,183.5,186.25999450683594,186.02272033691406,131296700,0.022507573914282597,184.4302719116211,179.35767791748046,1,1,0.022507573914282597,0.9917472973735488,0.022507573914282597,1.0901242795119817,-0.032767431660831514,-0.0327674316608314,0,0
2025-10-27,189.99000549316406,192,188.42999267578125,191.49000549316406,191.24607849121094,153452700,0.02807914078902085,184.9116569519043,179.5783999633789,1,1,0.02807914078902085,1.0195947093636317,0.02807914078902085,1.1207340326339286,-0.005608372198709688,-0.005608372198709577,0,0
2025-10-28,193.0500030517578,203.14999389648438,191.91000366210938,201.02999877929688,200.77394104003906,297986200,0.04981991068259206,185.63323745727538,179.95852111816407,1,1,0.04981991068259206,1.0703908267165714,0.04981991068259206,1.176568902038692,0,0,0,0
2025-10-29,207.97999572753906,212.19000244140625,204.77999877929688,207.0399932861328,206.77627563476562,308829600,0.0298959843276152,186.62197647094726,180.58591918945314,1,1,0.0298959843276152,1.102391214096513,0.0298959843276152,1.2117435874944003,0,0,0,0
2025-10-30,205.14999389648438,206.16000366210938,201.41000366210938,202.88999938964844,202.63156127929688,178864400,-0.020044438573744605,187.32108459472656,181.1352166748047,1,1,-0.020044438573744605,1.0802944011213198,-0.020044438573744605,1.1874548675877399,-0.020044438573744605,-0.020044438573744605,0,0
